place5,Place,census_2020_count,july1_2021_pop_est,july1_2022_pop_est,july1_2023_pop_est,july1_2024_pop_est,jan1_2025_pop_est,num_chg_20_24,num_chg_20_25,pct_chg_20_24,pct_chg_20_25
100,Abbott,352,352,353,354,352,351,0,-1,0,-0.3
160,Abernathy,2865,2847,2830,2834,2818,2810,-47,-55,-1.6,-1.9
1000,Abilene,125182,124772,126431,130669,130819,130830,5637,5648,4.5,4.5
1108,Ackerly,264,263,254,265,267,268,3,4,1.1,1.5
1240,Addison,16661,16710,16845,17003,17082,17122,421,461,2.5,2.8
1324,Adrian,128,126,128,129,128,128,0,0,0,0
1396,Agua Dulce,685,674,678,671,670,670,-15,-15,-2.2,-2.2
1576,Alamo,19493,20000,20311,20752,21446,21793,1953,2300,10,11.8
1600,Alamo Heights,7357,7470,7510,7549,7509,7487,152,130,2.1,1.8
1636,Alba,473,479,485,479,479,479,6,6,1.3,1.3
1648,Albany,1854,1862,1903,1979,1861,1802,7,-52,0.4,-2.8
1744,Aledo,4858,5222,5460,5696,6031,6199,1173,1341,24.1,27.6
1852,Alice,17891,17846,18533,18595,18352,18227,461,336,2.6,1.9
1924,Allen,104627,107421,109169,110983,112155,112748,7528,8121,7.2,7.8
2044,Alma,373,387,398,424,435,441,62,68,16.6,18.2
2104,Alpine,6035,6014,5931,6151,5983,5904,-52,-131,-0.9,-2.2
2188,Alto,1027,1032,1034,1039,1034,1032,7,5,0.7,0.5
2212,Alton,18198,18973,19488,20853,22204,22886,4006,4688,22,25.8
2260,Alvarado,4739,5250,5816,6176,6414,6536,1675,1797,35.3,37.9
2272,Alvin,27098,27653,28250,28830,30082,30713,2984,3615,11,13.3
2284,Alvord,1351,1399,1447,1513,1491,1480,140,129,10.4,9.5
3000,Amarillo,200393,199621,201123,203351,203682,203860,3289,3467,1.6,1.7
3072,Ames,937,948,957,961,966,969,29,32,3.1,3.4
3084,Amherst,678,667,664,660,664,664,-14,-14,-2.1,-2.1
3144,Anahuac,1980,1969,1965,1995,2080,2123,100,143,5.1,7.2
3192,Anderson,193,204,204,209,214,217,21,24,10.9,12.4
3216,Andrews,13487,13398,13363,13306,13744,13956,257,469,1.9,3.5
3264,Angleton,19429,19400,19757,20260,21040,21422,1611,1993,8.3,10.3
3288,Angus,444,454,464,471,468,467,24,23,5.4,5.2
3300,Anna,16896,20238,23933,27291,30660,32345,13764,15449,81.5,91.4
3336,Annetta,3041,3051,3068,3098,3156,3185,115,144,3.8,4.7
3340,Annetta North,554,554,558,571,583,589,29,35,5.2,6.3
3342,Annetta South,621,629,638,652,662,667,41,46,6.6,7.4
3360,Annona,184,189,182,187,194,198,10,14,5.4,7.6
3372,Anson,2294,2295,2292,2296,2337,2358,43,64,1.9,2.8
3432,Anthony,3671,3673,3703,3726,3714,3708,43,37,1.2,1
3540,Anton,907,894,895,907,911,913,4,6,0.4,0.7
3564,Appleby,552,554,553,556,554,553,2,1,0.4,0.2
3588,Aquilla,101,101,101,102,101,101,0,0,0,0
3600,Aransas Pass,7941,8003,8153,8232,8398,8482,457,541,5.8,6.8
3696,Archer City,1601,1600,1590,1602,1569,1553,-32,-48,-2,-3
3708,Arcola,2034,2061,2187,2612,2526,2483,492,449,24.2,22.1
3768,Argyle,4403,4774,5435,5852,6196,6368,1793,1965,40.7,44.6
4000,Arlington,394266,392827,402083,412783,411808,413519,17542,19253,4.4,4.9
4156,Arp,892,940,957,978,980,981,88,89,9.9,10
4300,Asherton,722,716,702,688,674,667,-48,-55,-6.6,-7.6
4408,Aspermont,789,774,765,803,800,796,11,7,1.4,0.9
4504,Athens,12857,12692,12967,13445,13513,13485,656,628,5.1,4.9
4516,Atlanta,5433,5466,5422,5476,5420,5396,-13,-37,-0.2,-0.7
4600,Aubrey,5006,6421,7614,8424,9265,9686,4259,4680,85.1,93.5
4672,Aurora,1390,1425,1468,1545,1515,1500,125,110,9,7.9
5000,Austin,961855,973381,980660,991117,1033097,1054007,71242,92152,7.4,9.6
5036,Austwell,118,120,118,117,116,116,-2,-2,-1.7,-1.7
5072,Avery,421,430,433,448,462,469,41,48,9.7,11.4
5084,Avinger,371,370,368,372,366,363,-5,-8,-1.3,-2.2
5168,Azle,13369,13411,14345,15253,15657,15858,2288,2489,17.1,18.6
5264,Bailey,220,225,228,228,231,233,11,13,5,5.9
5288,Bailey's Prairie,775,775,779,779,801,812,26,37,3.4,4.8
5336,Baird,1479,1495,1502,1499,1488,1483,9,4,0.6,0.3
5372,Balch Springs,27685,27131,27235,27429,27549,27612,-136,-73,-0.5,-0.3
5384,Balcones Heights,2746,2746,2743,2772,2754,2745,8,-1,0.3,0
5456,Ballinger,3619,3605,3594,3575,3493,3453,-126,-166,-3.5,-4.6
5468,Balmorhea,408,401,381,414,408,405,0,-3,0,-0.7
5528,Bandera,829,823,845,853,862,863,33,34,4,4.1
5552,Bangs,1540,1537,1536,1578,1536,1515,-4,-25,-0.3,-1.6
5612,Bardwell,625,637,648,654,666,672,41,47,6.6,7.5
5708,Barry,220,226,226,225,227,228,7,8,3.2,3.6
5720,Barstow,265,250,263,262,263,264,-2,-1,-0.8,-0.4
5732,Bartlett,1633,1638,1604,1643,1675,1693,42,60,2.6,3.7
5768,Bartonville,1725,1768,1783,1804,1863,1893,138,168,8,9.7
5864,Bastrop,9688,10535,11045,11686,12203,12461,2515,2773,26,28.6
5984,Bay City,18061,17834,17464,17635,17619,17606,-442,-455,-2.4,-2.5
6060,Bayou Vista,1763,1754,1764,1768,1762,1759,-1,-4,-0.1,-0.2
6104,Bayside,275,276,277,280,282,283,7,8,2.5,2.9
6128,Baytown,83701,83215,85524,83250,84621,85309,920,1608,1.1,1.9
6140,Bayview,475,502,524,554,576,587,101,112,21.3,23.6
6200,Beach City,3221,3230,3278,3402,3424,3435,203,214,6.3,6.6
6242,Bear Creek,397,402,407,410,399,394,2,-3,0.5,-0.8
6272,Beasley,608,629,670,776,842,875,234,267,38.5,43.9
7000,Beaumont,115282,114130,113999,114444,115024,115328,-258,46,-0.2,0
